target_id,symbol,name,score
ENSG00000197165,SULT1A2,sulfotransferase family 1A member 2,0.03287043227565738
ENSG00000196502,SULT1A1,sulfotransferase family 1A member 1,0.03287043227565738
ENSG00000213648,SULT1A4,sulfotransferase family 1A member 4,0.03287043227565738
ENSG00000172578,KLHL6,kelch like family member 6,0.032833474290188916
ENSG00000129993,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,0.0327152087366898
ENSG00000139083,ETV6,ETS variant transcription factor 6,0.032700425542502416
ENSG00000143344,RGL1,ral guanine nucleotide dissociation stimulator like 1,0.03264868436284656
ENSG00000117425,PTCH2,patched 2,0.0326043347802844
ENSG00000115524,SF3B1,splicing factor 3b subunit 1,0.03258215998900331
ENSG00000162769,FLVCR1,FLVCR choline and heme transporter 1,0.03257476839190961
ENSG00000165219,GAPVD1,GTPase activating protein and VPS9 domains 1,0.03254520200353485
ENSG00000156136,DCK,deoxycytidine kinase,0.032537810406441145
ENSG00000130396,AFDN,"afadin, adherens junction formation factor",0.03250085242097268
ENSG00000111252,SH2B3,SH2B adaptor protein 3,0.03249346082387898
